상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805433645,매머드커피외대,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230740,이문1동,1123011000,이문동,1.12301E+18,1,대지,264,223,서울특별시 동대문구 이문동 264-223,1.12304E+11,서울특별시 동대문구 천장산로7길,16,,1.12301E+24,,서울특별시 동대문구 천장산로7길 16,130829,2449,,1,,127.0569616,37.59849285
MA010120220805439208,러슬,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,612,10,서울특별시 광진구 구의동 612-10,1.12154E+11,서울특별시 광진구 자양로37길,63,,1.12151E+24,CEMIU,서울특별시 광진구 자양로37길 63,143833,4993,,3,,127.0855434,37.54860149
MA010120220805446012,알베르금호,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200620,금호4가동,1120011200,금호동4가,1.12001E+18,1,대지,173,9,서울특별시 성동구 금호동4가 173-9,1.12004E+11,서울특별시 성동구 금호로3길,14,,1.12001E+24,금호동교회,서울특별시 성동구 금호로3길 14,133808,4737,,,,127.0243875,37.54767051
MA010120220805445839,에딕티건대,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,47,1,서울특별시 광진구 화양동 47-1,1.12154E+11,서울특별시 광진구 아차산로29길,41,,1.12151E+24,,서울특별시 광진구 아차산로29길 41,143917,5018,,1,,127.0688788,37.54272255
MA010120220805448057,페르비타,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230660,장안2동,1123010600,장안동,1.12301E+18,1,대지,310,4,서울특별시 동대문구 장안동 310-4,1.12303E+11,서울특별시 동대문구 장한로,158,,1.12301E+24,대흥빌딩,서울특별시 동대문구 장한로 158,130839,2523,,1,,127.0721753,37.57438433
MA010120220805453894,프롬하츠커피신설역점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230536,용신동,1123010100,신설동,1.12301E+18,1,대지,89,79,서울특별시 동대문구 신설동 89-79,1.12303E+11,서울특별시 동대문구 왕산로,25,,1.12301E+24,,서울특별시 동대문구 왕산로 25,130810,2580,,1,,127.0261131,37.57681556
MA010120220805452742,베로아로스터리망우점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11260,중랑구,11260655,망우본동,1126010500,망우동,1.12601E+18,1,대지,202,1,서울특별시 중랑구 망우동 202-1,1.12603E+11,서울특별시 중랑구 망우로,464,,1.12601E+24,,서울특별시 중랑구 망우로 464,131802,2177,,1,,127.1036661,37.60019935
MA010120220805455945,인디고플레이스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,29,22,서울특별시 광진구 화양동 29-22,1.12153E+11,서울특별시 광진구 능동로,154,,1.12151E+24,,서울특별시 광진구 능동로 154,143916,5021,,,,127.0730884,37.54454876
MA010120220805455154,카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230720,휘경1동,1123010900,휘경동,1.12301E+18,1,대지,150,25,서울특별시 동대문구 휘경동 150-25,1.12304E+11,서울특별시 동대문구 휘경로19길,11,,1.12301E+24,,서울특별시 동대문구 휘경로19길 11,130875,2428,,,,127.0649643,37.5951686
MA010120220805463482,카페리빈갤러리아포레점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200650,성수1가1동,1120011400,성수동1가,1.12001E+18,1,대지,685,696,서울특별시 성동구 성수동1가 685-696,1.12004E+11,서울특별시 성동구 서울숲2길,32,14,1.12001E+24,갤러리아포레,서울특별시 성동구 서울숲2길 32-14,133923,4769,,1,,127.0428934,37.54566846
MA010120220805463330,커피베이행당점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200560,행당1동,1120010700,행당동,1.12001E+18,1,대지,140,,서울특별시 성동구 행당동 140,1.12004E+11,서울특별시 성동구 고산자로6길,40,,1.12001E+24,행당동레몬프라자,서울특별시 성동구 고산자로6길 40,133865,4745,,1,,127.0354558,37.55816854
MA010120220805467476,후식,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11260,중랑구,11260655,망우본동,1126010500,망우동,1.12601E+18,1,대지,495,,서울특별시 중랑구 망우동 495,1.12604E+11,서울특별시 중랑구 용마산로115길,109,,1.12601E+24,한일써너스빌리젠시2단지,서울특별시 중랑구 용마산로115길 109,131809,2163,,,,127.0941414,37.59744152
MA010120220805471432,매머드익스프레스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11260,중랑구,11260590,상봉2동,1126010200,상봉동,1.12601E+18,1,대지,81,5,서울특별시 중랑구 상봉동 81-5,1.12603E+11,서울특별시 중랑구 망우로,346,,1.12601E+24,한일써너스빌,서울특별시 중랑구 망우로 346,131778,2150,,1,,127.0913555,37.59744713
MA010120220805470816,비바체,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,200,19,서울특별시 광진구 구의동 200-19,1.12154E+11,서울특별시 광진구 광나루로52길,11,,1.12151E+24,,서울특별시 광진구 광나루로52길 11,143821,5034,,1,,127.0947895,37.54110389
MA010120220805476328,레스티오도서관점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,1,,서울특별시 광진구 화양동 1,1.12153E+11,서울특별시 광진구 능동로,120,,1.12151E+24,건국대학교,서울특별시 광진구 능동로 120,143914,5029,,3,,127.0746953,37.53905594
MA010120220805475850,카페그린,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200535,왕십리도선동,1120010200,하왕십리동,1.12001E+18,1,대지,1070,,서울특별시 성동구 하왕십리동 1070,1.12003E+11,서울특별시 성동구 왕십리로,410,,1.12001E+24,센트라스,서울특별시 성동구 왕십리로 410,133020,4701,,1,,127.0240621,37.56654474
MA010120220805478457,이디야뚝섬유원지역점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215847,자양4동,1121510500,자양동,1.12151E+18,1,대지,65,1,서울특별시 광진구 자양동 65-1,1.12153E+11,서울특별시 광진구 능동로,21,,1.12151E+24,,서울특별시 광진구 능동로 21,143845,5085,,1,,127.0672278,37.53354582
MA010120220805478529,스멜비,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200520,왕십리2동,1120010200,하왕십리동,1.12001E+18,1,대지,989,25,서울특별시 성동구 하왕십리동 989-25,1.12004E+11,서울특별시 성동구 무학봉15다길,4,,1.12001E+24,,서울특별시 성동구 무학봉15다길 4,133858,4710,,1,,127.0305353,37.5623091
MA010120220805482139,로프커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,464,2,서울특별시 광진구 군자동 464-2,1.12153E+11,서울특별시 광진구 동일로,304,,1.12151E+24,광산빌딩,서울특별시 광진구 동일로 304,143838,4994,,1,,127.073462,37.55824766
MA010120220805482368,카페메이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11260,중랑구,11260610,중화2동,1126010300,중화동,1.12601E+18,1,대지,307,68,서울특별시 중랑구 중화동 307-68,1.12603E+11,서울특별시 중랑구 동일로,833,8,1.12601E+24,,서울특별시 중랑구 동일로 833-8,131881,2014,,1,,127.0782179,37.60490501
MA010120220805483120,현커피숍,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,11,서울특별시,11260,중랑구,11260570,면목7동,1126010100,면목동,1.12601E+18,1,대지,523,10,서울특별시 중랑구 면목동 523-10,1.12603E+11,서울특별시 중랑구 사가정로,429,,1.12601E+24,,서울특별시 중랑구 사가정로 429,131833,2214,,,,127.0923291,37.58069517
MA010120220805482897,장수카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,65,3,서울특별시 광진구 군자동 65-3,1.12153E+11,서울특별시 광진구 군자로,140,,1.12151E+24,,서울특별시 광진구 군자로 140,143837,4998,,1,,127.0749954,37.55414188
MA010120220805485518,어치브먼트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230730,휘경2동,1123010900,휘경동,1.12301E+18,1,대지,294,163,서울특별시 동대문구 휘경동 294-163,1.12304E+11,서울특별시 동대문구 망우로18다길,19,,1.12301E+24,,서울특별시 동대문구 망우로18다길 19,130878,2498,,1,,127.060884,37.58645015
MA010120220805491881,소적두,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200660,성수1가2동,1120011400,성수동1가,1.12001E+18,1,대지,13,316,서울특별시 성동구 성수동1가 13-316,1.12004E+11,서울특별시 성동구 상원6길,8,,1.12001E+24,,서울특별시 성동구 상원6길 8,133822,4790,,,,127.0490464,37.54859252
MA010120220805491379,카페메이,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12001E+18,1,대지,299,155,서울특별시 성동구 성수동2가 299-155,1.12004E+11,서울특별시 성동구 성수일로12길,19,1,1.12001E+24,,서울특별시 성동구 성수일로12길 19-1,133833,4792,,1,,127.0534169,37.5484204
MA010120220805498380,카페시카고,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230730,휘경2동,1123010900,휘경동,1.12301E+18,1,대지,286,1,서울특별시 동대문구 휘경동 286-1,1.12304E+11,서울특별시 동대문구 망우로18가길,3,,1.12301E+24,휘경동근생주택,서울특별시 동대문구 망우로18가길 3,130878,2499,,1,,127.0624333,37.58930976
MA010120220805502965,에그허그,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,245,7,서울특별시 광진구 광장동 245-7,1.12154E+11,서울특별시 광진구 천호대로143길,8,5,1.12151E+24,,서울특별시 광진구 천호대로143길 8-5,143805,4968,,1,,127.1032625,37.54604324
MA010120220805506128,그린랩,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200660,성수1가2동,1120011400,성수동1가,1.12001E+18,1,대지,685,450,서울특별시 성동구 성수동1가 685-450,1.12004E+11,서울특별시 성동구 서울숲2길,18,11,1.12001E+24,,서울특별시 성동구 서울숲2길 18-11,133825,4768,,,,127.0405585,37.5468389
MA010120220805510998,빽다방화양,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12001E+18,1,대지,281,16,서울특별시 성동구 성수동2가 281-16,1.12004E+11,서울특별시 성동구 아차산로17길,57,,1.12001E+24,일신건영휴먼테코,서울특별시 성동구 아차산로17길 57,133832,4799,,1,,127.0657078,37.54745505
MA010120220805519291,달콤,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11230,동대문구,11230545,제기동,1123010300,제기동,1.12301E+18,1,대지,181,1,서울특별시 동대문구 제기동 181-1,1.12303E+11,서울특별시 동대문구 약령시로,27,,1.12301E+24,,서울특별시 동대문구 약령시로 27,130861,2477,,1,,127.0329751,37.58283688
