상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202210A0037544,영자's곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1.12151E+18,1,대지,169,21,서울특별시 광진구 중곡동 169-21,1.12153E+11,서울특별시 광진구 면목로,172,,1.12151E+24,,서울특별시 광진구 면목로 172,143900,4904,,1,,127.0828324,37.56850268
MA010120220805433802,썬더치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,149,6,서울특별시 광진구 군자동 149-6,1.12153E+11,서울특별시 광진구 군자로,127,,1.12151E+24,,서울특별시 광진구 군자로 127,143839,4999,,1,,127.073598,37.55366238
MA010120220805433025,메호르,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,11,1,서울특별시 광진구 화양동 11-1,1.12154E+11,서울특별시 광진구 능동로13길,15,,1.12151E+24,,서울특별시 광진구 능동로13길 15,143914,5016,,2,,127.0708923,37.54278346
MA010120220805449660,배떡,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,259,1,서울특별시 광진구 광장동 259-1,1.12153E+11,서울특별시 광진구 광장로,61,,1.12151E+24,금강빌딩,서울특별시 광진구 광장로 61,143806,4967,,1,,127.1039588,37.54743615
MA010120220805449171,설레임,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,8,51,서울특별시 광진구 화양동 8-51,1.12154E+11,서울특별시 광진구 아차산로31길,30,,1.12151E+24,,서울특별시 광진구 아차산로31길 30,143914,5017,,1,,127.0699372,37.54223531
MA010120220805450999,오사이초밥,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,1,16,서울특별시 광진구 화양동 1-16,1.12153E+11,서울특별시 광진구 군자로,14,,1.12151E+24,,서울특별시 광진구 군자로 14,143914,5010,,1,,127.0715027,37.54466245
MA010120220805455841,남수푸드,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,66,82,서울특별시 광진구 구의동 66-82,1.12154E+11,서울특별시 광진구 광나루로37길,8,,1.12151E+24,,서울특별시 광진구 광나루로37길 8,143819,4977,,1,,127.0876546,37.54530195
MA010120220805463240,율's,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1.12301E+18,1,대지,349,17,서울특별시 동대문구 장안동 349-17,1.12304E+11,서울특별시 동대문구 답십리로72길,106,,1.12301E+24,,서울특별시 동대문구 답십리로72길 106,130841,2640,,1,,127.0722362,37.56764498
MA010120220805466025,열린밥상,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,79,8,서울특별시 광진구 구의동 79-8,1.12153E+11,서울특별시 광진구 자양로,247,,1.12151E+24,고광빌딩,서울특별시 광진구 자양로 247,143819,4993,,1,,127.0888248,37.54864488
MA010120220805471339,피스메이커광진화양점,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,113,1,서울특별시 광진구 화양동 113-1,1.12154E+11,서울특별시 광진구 능동로19길,35,,1.12151E+24,광진코지웰,서울특별시 광진구 능동로19길 35,143915,5009,,2,,127.071835,37.54706186
MA010120220805470670,에스씨푸드,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,33,40,서울특별시 광진구 화양동 33-40,1.12154E+11,서울특별시 광진구 능동로13길,69,,1.12151E+24,,서울특별시 광진구 능동로13길 69,143916,5015,,2,,127.0690464,37.54471519
MA010120220805474592,미각의발견,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,32,42,서울특별시 광진구 구의동 32-42,1.12154E+11,서울특별시 광진구 자양로50길,37,,1.12151E+24,,서울특별시 광진구 자양로50길 37,143817,4956,,1,,127.0943022,37.55239034
MA010120220805474163,신사동,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1.12151E+18,1,대지,565,1,서울특별시 광진구 중곡동 565-1,1.12153E+11,서울특별시 광진구 답십리로,372,,1.12151E+24,,서울특별시 광진구 답십리로 372,143909,4902,,1,,127.0818117,37.57142315
MA010120220805473734,산과바다,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,26,16,서울특별시 광진구 구의동 26-16,1.12153E+11,서울특별시 광진구 자양로,322,,1.12151E+24,,서울특별시 광진구 자양로 322,143816,4956,,1,,127.0940347,37.55392008
MA010120220805475500,육회이야기화양점,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,111,5,서울특별시 광진구 화양동 111-5,1.12153E+11,서울특별시 광진구 광나루로,380,,1.12151E+24,,서울특별시 광진구 광나루로 380,143915,5009,,1,,127.0718622,37.54761171
MA010120220805474593,온도계,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,114,16,서울특별시 광진구 중곡동 114-16,1.12154E+11,서울특별시 광진구 자양로43길,60,,1.12151E+24,,서울특별시 광진구 자양로43길 60,143889,4953,,1,,127.0900929,37.55325002
