상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805446937,에이스원영어학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1.12151E+18,1,대지,553,588,서울특별시 광진구 자양동 553-588,1.12153E+11,서울특별시 광진구 뚝섬로,541,,1.12151E+24,,서울특별시 광진구 뚝섬로 541,143193,5070,,4,,127.0703452,37.53489495
MA010120220805456459,에이비에이캥거루,,P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관,P85699,그 외 기타 분류 안된 교육기관,11,서울특별시,11215,광진구,11215847,자양4동,1121510500,자양동,1.12151E+18,1,대지,9,13,서울특별시 광진구 자양동 9-13,1.12154E+11,서울특별시 광진구 아차산로30길,36,,1.12151E+24,서울특별시동부여성발전센타,서울특별시 광진구 아차산로30길 36,143841,5072,,1,,127.0667023,37.53939851
MA010120220805460337,파고라,,P1,교육,P106,기타 교육,P10613,기타 예술/스포츠 교육기관,P85629,기타 예술학원,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,140,3,서울특별시 광진구 중곡동 140-3,1.12154E+11,서울특별시 광진구 용마산로1길,113,,1.12151E+24,,서울특별시 광진구 용마산로1길 113,143891,4930,,,,127.0824788,37.55672322
MA010120220805466166,크레버스영재교육센터광진제1지점,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,530,25,서울특별시 광진구 광장동 530-25,1.12153E+11,서울특별시 광진구 광나루로,603,,1.12151E+24,광장빌딩,서울특별시 광진구 광나루로 603,143815,4984,,3,,127.0954921,37.54195627
MA010120220805469587,살롱드발레,,P1,교육,P106,기타 교육,P10613,기타 예술/스포츠 교육기관,P85629,기타 예술학원,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,210,53,서울특별시 광진구 구의동 210-53,1.12154E+11,서울특별시 광진구 광나루로52길,88,,1.12151E+24,,서울특별시 광진구 광나루로52길 88,143822,5046,,1,,127.0912124,37.5393464
MA010120220805477458,히트플레이스PT,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85611,태권도 및 무술 교육기관,11,서울특별시,11215,광진구,11215760,중곡3동,1121510100,중곡동,1.12151E+18,1,대지,193,51,서울특별시 광진구 중곡동 193-51,1.12153E+11,서울특별시 광진구 면목로,132,,1.12151E+24,,서울특별시 광진구 면목로 132,143901,4908,,2,,127.0810278,37.56519982
MA010120220805499230,진씨태극권정진무관,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85611,태권도 및 무술 교육기관,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,139,31,서울특별시 광진구 중곡동 139-31,1.12154E+11,서울특별시 광진구 용마산로3길,99,,1.12151E+24,,서울특별시 광진구 용마산로3길 99,143891,4930,,지,,127.0827896,37.55722121
MA010120220805507515,해법영어교실용마영어교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,138,35,서울특별시 광진구 중곡동 138-35,1.12154E+11,서울특별시 광진구 용마산로3길,98,,1.12151E+24,,서울특별시 광진구 용마산로3길 98,143891,4926,,1,,127.0829691,37.55734875
MA010120220805535635,준드라이빙운전면허,,P1,교육,P106,기타 교육,P10623,운전학원,P85661,운전학원,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1.12151E+18,1,대지,219,7,서울특별시 광진구 자양동 219-7,1.12153E+11,서울특별시 광진구 아차산로,358,,1.12151E+24,,서울특별시 광진구 아차산로 358,143852,5055,,3,,127.0823755,37.53652985
MA010120220805547117,안티영어교육,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,530,24,서울특별시 광진구 광장동 530-24,1.12153E+11,서울특별시 광진구 아차산로,491,,1.12151E+24,,서울특별시 광진구 아차산로 491,143815,4984,,4,,127.0959806,37.54179782
MA010120220805653538,에이플러스메타수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,129,1,서울특별시 광진구 중곡동 129-1,1.12154E+11,서울특별시 광진구 천호대로119길,57,,1.12151E+24,,서울특별시 광진구 천호대로119길 57,143890,4925,,1,,127.0857637,37.5574335
MA010120220805683050,이루리,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,69,21,서울특별시 광진구 구의동 69-21,1.12153E+11,서울특별시 광진구 자양로,220,,1.12151E+24,,서울특별시 광진구 자양로 220,143819,4976,,2,,127.087153,37.54653252
MA010120220805707434,링키홈아차산,,P1,교육,P106,기타 교육,P10615,외국어학원,P85631,외국어학원,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,26,15,서울특별시 광진구 구의동 26-15,1.12153E+11,서울특별시 광진구 자양로,324,,1.12151E+24,약수목욕탕,서울특별시 광진구 자양로 324,143816,4956,,2,,127.09418,37.55406536
MA010120220805823648,비트믹스스튜디오학원,,P1,교육,P106,기타 교육,P10605,레크리에이션 교육기관,P85613,레크리에이션 교육기관,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,7,12,서울특별시 광진구 화양동 7-12,1.12153E+11,서울특별시 광진구 아차산로,235,,1.12151E+24,,서울특별시 광진구 아차산로 235,143914,5018,,10,,127.0695162,37.54060109
MA010120220805866156,이손음악교습소,,P1,교육,P106,기타 교육,P10609,음악학원,P85621,음악학원,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,363,6,서울특별시 광진구 군자동 363-6,1.12153E+11,서울특별시 광진구 군자로,82,,1.12151E+24,,서울특별시 광진구 군자로 82,143840,5004,,2,,127.0711601,37.55038143
MA010120220805891618,김앤홍,,P1,교육,P106,기타 교육,P10625,기타 기술/직업 훈련학원,P85669,기타 기술 및 직업 훈련학원,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,162,3,서울특별시 광진구 중곡동 162-3,1.12153E+11,서울특별시 광진구 능동로,339,,1.12151E+24,희재빌딩,서울특별시 광진구 능동로 339,143899,4915,,4,,127.0807306,37.55990834
MA010120220805943204,메이플평생교육원,,P1,교육,P106,기타 교육,P10629,그 외 기타 교육기관,P85699,그 외 기타 분류 안된 교육기관,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,463,8,서울특별시 광진구 군자동 463-8,1.12154E+11,서울특별시 광진구 천호대로102길,4,,1.12151E+24,,서울특별시 광진구 천호대로102길 4,143838,4994,,,,127.0740436,37.55881087
MA010120220805963287,저스트체대입시,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215850,구의1동,1121510300,구의동,1.12151E+18,1,대지,251,32,서울특별시 광진구 구의동 251-32,1.12153E+11,서울특별시 광진구 자양로,142,,1.12151E+24,,서울특별시 광진구 자양로 142,143826,5039,,B1,,127.0835633,37.54025141
MA010120220805957445,로즈필라테스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,611,,서울특별시 광진구 구의동 611,1.12154E+11,서울특별시 광진구 광나루로56길,32,,1.12151E+24,구의현대2단지아파트,서울특별시 광진구 광나루로56길 32,143760,5118,,1,,127.0961984,37.53781683
MA010120220806001655,창조수학제2관학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,202,3,서울특별시 광진구 구의동 202-3,1.12153E+11,서울특별시 광진구 광나루로,582,,1.12151E+24,세종빌딩,서울특별시 광진구 광나루로 582,143821,5033,,8,,127.0933618,37.54312932
MA010120220805999108,시니어벤처협회,,P1,교육,P106,기타 교육,P10621,직원 훈련기관,P85650,직원 훈련기관,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1.12151E+18,1,대지,767,4,서울특별시 광진구 자양동 767-4,1.12153E+11,서울특별시 광진구 자양로,135,,1.12151E+24,자양오피스텔,서울특별시 광진구 자양로 135,143853,5025,,,,127.0829346,37.53985006
